1052,1057,1048,1069,1041,1056,1033,1047,1062,1032,1047,1029,1044,1043,1040,1042,1063,1030,1032,1050,1039,1039,1048,1025,1045,1021,1042,1252,1244,1256,1251,1034,1041,1028,1128,1263,1276,1279,1268,1275,1265,,,
0.001445734,0.001654958,0.001530542,0.001400118,0.001476449,0.001507439,0.001653095,0.001387509,0.001280319,0.001578368,0.001686722,0.001746249,0.001324848,0.001545251,0.00140625,0.001548219,0.001636328,0.001662739,0.001817799,0.002003628,0.001712797,0.001634058,0.001762718,0.001679001,0.001772853,0.001692182,0.001473617,0.001594892,0.001308532,0.001714065,0.001727794,0.001894017,0.002126087,0.001669215,0.001453178,0.001695118,0.001243723,0.001590008,0.001617714,0.00166336,0.001380431,,,
0.001374351,0.001504589,0.001384862,0.001330987,0.001263287,0.001434803,0.001653095,0.001317267,0.00121382,0.001578368,0.001317267,0.001665973,0.001189061,0.001191342,0.001265717,0.001400857,0.001561105,0.001433688,0.001578368,0.001836735,0.001482139,0.001634058,0.001314754,0.001679001,0.001772853,0.001612561,0.001329939,0.001594892,0.001308532,0.001714065,0.001727794,0.001810774,0.001952604,0.001590675,0.001386374,0.001567232,0.001189061,0.001590008,0.001617714,0.00153787,0.00120983,,,
0.001304775,0.00136138,0.001115356,0.001134095,0.001195924,0.001434803,0.001425373,0.001317267,0.001149095,0.001428137,0.001248849,0.001511086,0.001123919,0.001126075,0.001198225,0.001329939,0.001277911,0.001089641,0.001428137,0.001756009,0.001482139,0.001634058,0.001180001,0.0016,0.001465168,0.001612561,0.001329939,0.001531735,0.001251021,0.001648774,0.00166198,0.001572268,0.001706222,0.001514027,0.001386374,0.001384806,0.001135627,0.001528266,0.001617714,0.00153787,0.00120983,,,
0.00110689,0.000701724,0.001052532,0.001011585,0.001004908,0.001036645,0.00128293,0.001117488,0.000965559,0.001216874,0.001182256,0.001436476,0.000825737,0.001062647,0.001198225,0.001329939,0.001023037,0.001026487,0.001022512,0.0016,0.001200532,0.001070845,0.000991529,0.001233551,0.001465168,0.001534859,0.001329939,0.001469853,0.001194803,0.00158475,0.001293929,0.001280449,0.001706222,0.001439272,0.001386374,0.001326505,0.001083421,0.001528266,0.001554897,0.00147697,0.00120983,,,
0.000477996,0.000605058,0.001052532,0.00059155,0.001004908,0.000703053,0.001083321,0.000993424,0.000907927,0.000736134,0.000876658,0.001436476,0.000825737,0.000941307,0.001132581,0.001064688,0.000796482,0.001026487,0.001022512,0.000613152,0.000833703,0.001070845,0.000874985,0.001165973,0.001121769,0.001692182,0.00100298,0.001291863,0.001194803,0.001521994,0.00123706,0.001081227,0.000830503,0.00136641,0.00096276,0.001213665,0.001083421,0.001528266,0.001554897,0.001417301,0.00120983,,,
0.000437335,0.000473484,0.000401528,0.000224019,0.000886792,0.000516529,0.00027083,0.000821011,0.000797983,0.000586841,0.000570147,0.001028483,0.000719308,0.000941307,0.000111871,0.000722072,0.000199121,0.000965218,0.001022512,0.000327438,0.000726248,0.000626204,0.000524445,0.000856633,0.00099723,0.001108936,0.00077457,0.001179582,0.001139877,0.001521994,0.001127156,0.000538743,0.0006238,0.000909363,0.000804788,0.001105839,0.001032444,0.001467747,0.001432993,0.001358862,0.001102345,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000536522,0.001033902,0.00122723,0.001022364,,,,0.000755275,0.000953504,0.000516529,0.00097809,0.001045512,0.001034064,0.000999859,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000465071,0.00058157,0.00101424,0.000922683,,,,0,0.000812453,0.00035377,0.000176668,0.000523067,0.000984237,0.000950491,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.128504099,1.096998073,1.109310355,1.14674897,1.128874641,1.134283173,1.084876707,1.092656601,1.125155607,1.113289466,1.105427888,1.058610311,1.114781051,1.116165938,1.13683432,1.087934395,1.116473107,1.104533886,1.082191575,1.08092517,1.098024031,1.068714736,1.089279471,1.070886377,1.053767084,1.051666233,1.08045579,1.078537599,1.071300441,1.03151497,1.044654924,1.071910928,1.052210014,1.052741147,1.08322016,1.048978509,1.094665442,1.064992258,1.044512335,1.032492734,1.060044681,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
