21/22,20/21,19/20,18/19,17/18,16/17,15/16,14/15,13/14,Dec-13,11-Dec,10-Nov,09-Oct,08-Sep,07-Aug,06-Jul,05-Jun,04-May,03-Apr,02-Mar,01-Feb,00/01,99/00,98/99,97/98,96/97,95/96,94/95,93/94,92/93,91/92,90/91,89/90,88/89,87/88,86/87,85/86,84/85,83/84,82/83,81/82
0.00119363,0.001256037,0.001437524,0.001578368,0.00136138,0.001153435,0.001392825,0.001615725,0.00117551,0.001467976,0.001746249,0.001861472,0.001796845,0.001322314,0.001514027,0.001519936,0.001019916,0.001712247,0.001312749,0.001319114,0.001135309,0.00188126,0.000995617,0.001963498,0.001482852,0.002056,0.001197589,0.001634428,0.002093212,0.002402922,0.001177432,0.001292238,0.001668696,0.001946367,0.001772853,0.00101424,0.001111111,0.000976563,0.000625,0.000733507,0.00125434
0.000885091,0.001256037,0.001366546,0.001355838,0.00129246,0.001028836,0.001392825,0.00131584,0.001048526,0.001324848,0.001665973,0.001545251,0.001637208,0.001253634,0.00129544,0.001519936,0.000957168,0.001712247,0.001312749,0.000844233,0.000700879,0.00188126,0.000712838,0.001561906,0.000978914,0.001094831,0.001038101,0.000458092,0.001177432,0.000963839,0.001067965,0.000963839,0.001412384,0.001412384,,,,,,,
0.000828909,0.000999141,0.001100604,0.001355838,0.001096443,0.000911356,0.001322314,0.001111111,0.000928798,0.000939505,0.00122398,0.001191342,0.00113695,0.001058584,0.001226362,0.001444889,0.000837646,0.001712247,0.000246505,0.000646366,0.000469184,0.000580636,0.000649507,0.000573703,0.000283827,0.000542159,0.000820228,0.000203597,0.00032306,0.000771605,0.000523303,0.000865052,0.001177432,0.001292238,,,,,,,
0.000722072,0.00048535,0.000561533,0.000586841,0.00055941,0.000601638,0.000880016,0.000553633,0.000762812,0.001189061,0.000967095,0.000941307,0.000891926,0.000880016,0.001093885,0.000692521,0.000439241,0.001631682,,,,,,,,,,,,,,,,,,,,,,,
0.000671417,0.000366994,0.000359381,0.000375578,0.00039472,0.000288359,0.000717932,0.00064975,0.000566893,0.000444063,0.000457104,0.000529485,0.000780551,0.000824157,0.00085164,0.000642173,0.008247975,0.001189061,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.119285591,1.148361005,1.11550055,1.11651944,1.143648372,1.142969028,1.103509535,1.087004998,1.130376417,1.096247853,1.078178877,1.077484099,1.076584955,1.084279206,1.087980136,1.108565219,1.144975518,1.071397025,1.133322831,1.090379846,1.098906541,1.09034693,1.100769394,1.06713041,1.110166951,1.065203287,1.085981511,1.100159625,1.070165321,1.052287582,1.089677047,1.068915802,1.06805075,1.071895425,1.057684211,1.063608621,1.056111111,1.073194444,1.058611111,1.053055556,1.065972222
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.068725821,0.070993691,0.066769171,0.071015102,0.072283448,0.070357947,0.070953585,0.070087787,0.075606098,0.069123518,0.068274702,0.066741558,0.06693633,0.067643357,0.068801225,0.074438275,0.065297653,0.069811466,0.079226933,0.073582726,0.072715984,0.075154096,0.073688037,0.071899068,0.074513455,0.069725986,0.07355537,0.073400303,0.070798198,0.070798198,0.075706227,0.071643225,0.071643225,0.077259425,0.080524672,0.077741595,0.080039941,0.077951516,0.077951516,0.077951516,0.081058915
